sample_label,site,crab_num,replicate,Sample_name,locus
CLAY-13-a,CLAY,13,a,88,LerayXT
CLAY-13-b,CLAY,13,b,89,LerayXT
CLAY-13-c,CLAY,13,c,90,LerayXT
KAY-06-a,KAY,06,a,31,LerayXT
KAY-06-b,KAY,06,b,32,LerayXT
KAY-06-c,KAY,06,c,33,LerayXT
KAY-25-a,KAY,25,a,34,LerayXT
KAY-25-b,KAY,25,b,35,LerayXT
KAY-25-c,KAY,25,c,36,LerayXT
KAY-26-a,KAY,26,a,37,LerayXT
KAY-26-b,KAY,26,b,38,LerayXT
KAY-26-c,KAY,26,c,39,LerayXT
KAY-27-a,KAY,27,a,40,LerayXT
KAY-27-b,KAY,27,b,41,LerayXT
KAY-27-c,KAY,27,c,42,LerayXT
KAY-29-a,KAY,29,a,28,LerayXT
KAY-29-b,KAY,29,b,29,LerayXT
KAY-29-c,KAY,29,c,30,LerayXT
MARPT-08-a,MARPT,08,a,1,LerayXT
MARPT-08-b,MARPT,08,b,2,LerayXT
MARPT-08-c,MARPT,08,c,3,LerayXT
MARPT-10-a,MARPT,10,a,4,LerayXT
MARPT-10-b,MARPT,10,b,5,LerayXT
MARPT-10-c,MARPT,10,c,6,LerayXT
MARPT-11-a,MARPT,11,a,7,LerayXT
MARPT-11-b,MARPT,11,b,8,LerayXT
MARPT-11-c,MARPT,11,c,9,LerayXT
MARPT-12-a,MARPT,12,a,10,LerayXT
MARPT-12-b,MARPT,12,b,11,LerayXT
MARPT-12-c,MARPT,12,c,12,LerayXT
MARPT-13-a,MARPT,13,a,13,LerayXT
MARPT-13-b,MARPT,13,b,14,LerayXT
MARPT-13-c,MARPT,13,c,15,LerayXT
MARPT-14-a,MARPT,14,a,25,LerayXT
MARPT-14-c,MARPT,14,c,26,LerayXT
MARPT-14-c,MARPT,14,c,27,LerayXT
MARPT-15-a,MARPT,15,a,16,LerayXT
MARPT-15-b,MARPT,15,b,17,LerayXT
MARPT-15-c,MARPT,15,c,18,LerayXT
MARPT-16-a,MARPT,16,a,19,LerayXT
MARPT-16-b,MARPT,16,b,20,LerayXT
MARPT-16-c,MARPT,16,c,21,LerayXT
MARPT-17-a,MARPT,17,a,22,LerayXT
MARPT-17-b,MARPT,17,b,23,LerayXT
MARPT-17-c,MARPT,17,c,24,LerayXT
PBNERR-01-a,PBNERR,01,a,76,LerayXT
PBNERR-01-b,PBNERR,01,b,77,LerayXT
PBNERR-01-c,PBNERR,01,c,78,LerayXT
PBNERR-02-a,PBNERR,02,a,79,LerayXT
PBNERR-02-b,PBNERR,02,b,80,LerayXT
PBNERR-02-c,PBNERR,02,c,81,LerayXT
NegativeControl,NegativeControl,NA,NA,94,LerayXT
NONE-1,NONE,1,NA,91,LerayXT
NONE-2,NONE,2,NA,92,LerayXT
NONE-3,NONE,3,NA,93,LerayXT
NONE-4,NONE,4,NA,95,LerayXT
PositiveControl,PositiveControl,NA,NA,96,LerayXT
SAMT-01-a,SAMT,01,a,82,LerayXT
SAMT-01-b,SAMT,01,b,83,LerayXT
SAMT-01-c,SAMT,01,c,84,LerayXT
SAMT-02-a,SAMT,02,a,85,LerayXT
SAMT-02-b,SAMT,02,b,86,LerayXT
SAMT-02-c,SAMT,02,c,87,LerayXT
SIN-01-a,SIN,01,a,43,LerayXT
SIN-01-b,SIN,01,b,44,LerayXT
SIN-01-c,SIN,01,c,45,LerayXT
SIN-02-a,SIN,02,a,46,LerayXT
SIN-02-b,SIN,02,b,47,LerayXT
SIN-02-c,SIN,02,c,48,LerayXT
SIN-03-a,SIN,03,a,49,LerayXT
SIN-03-b,SIN,03,b,50,LerayXT
SIN-03-c,SIN,03,c,51,LerayXT
SIN-04-a,SIN,04,a,52,LerayXT
SIN-04-b,SIN,04,b,53,LerayXT
SIN-04-c,SIN,04,c,54,LerayXT
SIN-05-a,SIN,05,a,55,LerayXT
SIN-05-b,SIN,05,b,56,LerayXT
SIN-05-c,SIN,05,c,57,LerayXT
SIN-06-a,SIN,06,a,58,LerayXT
SIN-06-b,SIN,06,b,59,LerayXT
SIN-06-c,SIN,06,c,60,LerayXT
SIN-07-a,SIN,07,a,61,LerayXT
SIN-07-b,SIN,07,b,62,LerayXT
SIN-07-c,SIN,07,c,63,LerayXT
SIN-08-a,SIN,08,a,64,LerayXT
SIN-08-b,SIN,08,b,65,LerayXT
SIN-08-c,SIN,08,c,66,LerayXT
SIN-10-a,SIN,10,a,67,LerayXT
SIN-10-b,SIN,10,b,68,LerayXT
SIN-10-c,SIN,10,c,69,LerayXT
SIN-11-a,SIN,11,a,70,LerayXT
SIN-11-b,SIN,11,b,71,LerayXT
SIN-11-c,SIN,11,c,72,LerayXT
SIN-12-a,SIN,12,a,73,LerayXT
SIN-12-b,SIN,12,b,74,LerayXT
SIN-12-c,SIN,12,c,75,LerayXT
