new_taxon2,functional_group,ncrab,new_taxon,respone_number,r_score_no_effect,r_score_decrease,r_score_increase,r_score_complex,pr_score_no_effect,pr_score_decrease,pr_score_increase,directional_score,evidence_score,agreement_score,normalized_agreement_score,confidence_score,raw_survival_scalar,relative_survival_scalar,oa_survival_response_curve_slope,oa_survival_response_curve_lower_bound_slope,oa_survival_response_curve_upper_bound_slope,OA.diet.group
Balanus crenatus,Shallow benthic filter feeders,22,NA,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,low
Botrylloides,Shallow benthic filter feeders,4,NA,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,low
Chordariaceae,Macroalgae,19,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Clinocardium nuttallii,Bivalves,6,NA,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,low
Crangon,Crangon shrimp,3,NA,17,4.21,5.08,0,0,0.45,0.55,0,-0.55,9.28,0.75,0.5,1.12,-0.61,-0.45,0.45,0.08,0.81,low
Ectocarpaceae (incl. Ectocarpus spp.),Macroalgae,5,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Fucus distichus,Macroalgae,6,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Hemigrapsus oregonensis,Crabs,4,NA,145,50.63,47.39,2.13,2.25,0.51,0.47,0.02,-0.45,100.15,0.73,0.46,2.12,-0.96,-0.7,0.7,0.45,0.95,low
Membranipora membranacea,Shallow benthic filter feeders,3,NA,153,41.17,49.05,6.54,1.32,0.43,0.51,0.07,-0.44,96.75,0.69,0.37,1.71,-0.75,-0.55,0.55,0.25,0.84,low
Modiolus modiolus,Bivalves,7,NA,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,low
Mytilus trossulus,Bivalves,3,NA,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,low
Paracalanus,Mesozooplankton,5,NA,55,12.69,25.59,0,0,0.33,0.67,0,-0.67,38.28,0.78,0.56,2.03,-1.36,-0.99,0.99,0.73,1.25,low
Phacellophora camtschatica,Gelatinous zooplankton,5,NA,3,1.51,0,0.83,0,0.64,0,0.36,0.36,2.35,0.77,0.54,0.46,0.16,0.12,-0.12,-0.56,0.33,high
Ralfsiaceae,Macroalgae,3,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Rhodomelaceae (incl. Polysiphonia sp.),Macroalgae,8,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Sargassum,Macroalgae,3,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Tellinidae (incl. Limecola),Bivalves,8,NA,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,low
Tresus,Bivalves,9,NA,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,low
Ulvales,Macroalgae,7,NA,165,41.98,21.95,37.8,8.34,0.41,0.22,0.37,0.16,101.74,0.6,0.19,0.9,0.14,0.1,-0.1,-0.49,0.29,high
Veneridae (incl. Saxidomus),Bivalves,6,NA,487,147.57,173.42,11.68,19.34,0.44,0.52,0.04,-0.49,332.67,0.72,0.43,2.52,-1.22,-0.89,0.89,0.69,1.09,low
Dinophyceae,Microzooplankton,12,Dinophyceae,90,26.44,12.09,18.43,3.38,0.46,0.21,0.32,0.11,56.97,0.61,0.23,0.92,0.1,0.07,-0.07,-0.46,0.32,high
Euchlanis dilatata,Microzooplankton,17,Euchlanis dilatata,90,26.44,12.09,18.43,3.38,0.46,0.21,0.32,0.11,56.97,0.61,0.23,0.92,0.1,0.07,-0.07,-0.46,0.32,high
Small phytoplankton,Small phytoplankton,3,Cryptomonas curvata,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,high
Small phytoplankton,Small phytoplankton,6,Cryptophyceae,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,high
Small phytoplankton,Small phytoplankton,17,Micromonas pusilla,79,15.58,11.66,19.47,2.41,0.33,0.25,0.42,0.17,46.71,0.57,0.14,0.54,0.09,0.07,-0.07,-0.5,0.37,high
