group,new_taxon,ncrab
Annelida,Alitta,1
Annelida,Armandia brevis,1
Annelida,Eteone,1
Annelida,Eumida,1
Annelida,Exogone molesta,1
Annelida,Glycinde,1
Annelida,Naididae,1
Annelida,Nais,1
Annelida,Nereis vexillosa,1
Annelida,Oxydromus pugettensis,1
Annelida,Scolelepis squamata,1
Arthropoda,Acanthocyclops,1
Arthropoda,Acartia longiremis,1
Arthropoda,Balanus,1
Arthropoda,Caprella californica,1
Arthropoda,Diarthrodes,1
Arthropoda,Gnorimosphaeroma,1
Arthropoda,Harpacticus,1
Arthropoda,Hyperiidae,1
Arthropoda,Idoteidae,1
Arthropoda,Pagurus granosimanus,1
Arthropoda,Pagurus hirsutiusculus,1
Arthropoda,Pinnixa,1
Arthropoda,Tortanus discaudatus,1
Bacillariophyta,Gomphonema parvulum,1
Bacillariophyta,Grammatophora,1
Bacillariophyta,Lithodesmiaceae,1
Bacillariophyta,Naviculaceae,1
Bacillariophyta,Podosira stelligera,1
Bacillariophyta,Sellaphora auldreekie,1
Bacillariophyta,Thalassiosira,1
brown algae,Ectocarpus,1
Bryozoa,Membranipora,1
Bryozoa,Plumatella,1
Chlorophyta,Chlamydomonas,1
Chlorophyta,Chlamydomonas sp. UWO 241,1
Chlorophyta,Ostreococcus tauri,1
Chlorophyta,Tetradesmus obliquus,1
Chordata,Botrylloides violaceus,1
Cnidaria,Cyanea,1
Cnidaria,Obelia,1
Cnidaria,Zanclea,1
Cryptophyceae,Teleaulax amphioxeia,1
Dinophyceae,Azadinium,1
Dinophyceae,Durinskia baltica,1
Dinophyceae,Heterocapsa rotundata,1
Echinodermata,Leptosynapta clarki,1
Eustigmatophyceae,Nannochloropsis,1
Mollusca,Limecola balthica,1
Mollusca,Melanochlamys diomedea,1
Mollusca,Mitrella gausapata,1
Mollusca,Mya,1
Mollusca,Onchidoris bilamellata,1
Mollusca,Panopea generosa,1
Nematoda,Chromadoridae,1
Nematoda,Terschellingia,1
Nemertea,Cephalothrix spiralis,1
Nemertea,Emplectonema viride,1
Nemertea,Paranemertes peregrina,1
Pelagophyceae,Aureococcus anophagefferens,1
Phaeophyceae,Acinetosporaceae,1
Phaeophyceae,Ectocarpus siliculosus,1
Phaeophyceae,Myriotrichia,1
Phaeophyceae,Saccharina,1
Platyhelminthes,Microstomum,1
Platyhelminthes,Microstomum bispiralis,1
Platyhelminthes,Notocomplana septentrionalis,1
Porifera,Cliona,1
Rhodophyta,Acrochaetium,1
Rhodophyta,Polysiphonia paniculata,1
Rotifera,Eurotatoria,1
Rotifera,Trichotria tetractis,1
Rotifera,Tripleuchlanis plicata,1
amphipod,Caprella laeviuscula,2
Annelida,Polydora cornuta,2
Arthropoda,Calanus,2
Arthropoda,Centropages abdominalis,2
Arthropoda,Nihonotrypaea,2
Arthropoda,Pinnotheridae,2
Arthropoda,Tisbe,2
Bacillariophyta,Cylindrotheca closterium,2
Bacillariophyta,Skeletonema,2
bivalves,Nuttallia,2
brown algae,Feldmannia mitchelliae,2
brown algae,Hincksia,2
brown algae,Petalonia fascia,2
Chlorophyta,Ulva,2
Chordata,Cymatogaster aggregata,2
Cryptophyceae,Guillardia theta,2
Dinophyceae,Suessiales,2
Foraminifera,Rotaliida,2
Mollusca,Hiatella,2
Mollusca,Mya arenaria,2
Nemertea,Zygonemertes,2
nemertean worm,Tubulanus,2
Phaeophyceae,Scytosiphon,2
Platyhelminthes,Notocomplana,2
polychaeate,Phyllodoce,2
polychaete,Oweniidae,2
sponge,Scopalina ruetzleri,2
