Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
1,LerayXT,201952,176269,176219,176176,173795,173795,172713
2,LerayXT,212134,186720,186697,186677,184194,184194,182838
3,LerayXT,251515,220428,220367,220302,212477,212477,211309
4,LerayXT,168829,137377,137320,137141,135111,135111,134166
5,LerayXT,199726,172368,172289,172206,166799,166799,165508
6,LerayXT,220162,186817,186726,186684,180180,180180,178532
7,LerayXT,59880,52141,51737,52074,50150,50150,50090
8,LerayXT,83722,72836,72790,72748,69912,69912,69776
9,LerayXT,185275,160955,160880,160554,154585,154585,154139
10,LerayXT,265649,232423,232401,232379,224725,224725,224638
11,LerayXT,127818,109892,109873,109853,105734,105734,105666
12,LerayXT,144924,123853,123795,123811,119320,119320,119285
13,LerayXT,33671,28525,28497,28002,27532,27532,27510
14,LerayXT,22010,18739,18733,18724,18586,18586,18561
15,LerayXT,6795,5844,5843,5840,5814,5814,5814
16,LerayXT,253290,217270,217243,217217,213799,213799,213450
17,LerayXT,289485,251522,251506,251421,247435,247435,247101
18,LerayXT,257064,225438,225426,225417,221592,221592,220971
19,LerayXT,216212,184215,184187,184159,177309,177309,177309
20,LerayXT,168773,139183,139166,139168,133589,133589,133589
21,LerayXT,205846,176752,176735,176735,169958,169958,169955
22,LerayXT,104193,91214,91199,91198,90019,90019,89988
23,LerayXT,211656,184241,184221,184217,177394,177394,177394
24,LerayXT,188858,164785,164764,164741,162461,162461,162458
25,LerayXT,307094,261581,261553,261053,251603,251603,251183
26,LerayXT,178402,148850,148822,148805,143467,143467,143391
27,LerayXT,373882,323767,323721,323605,311799,311799,311567
28,LerayXT,245029,212000,211965,211983,204214,204214,204091
29,LerayXT,232130,200597,200587,200573,193319,193319,193113
30,LerayXT,208315,181109,181100,181093,174444,174444,174259
31,LerayXT,200527,167261,167179,167158,160383,160383,158854
32,LerayXT,216035,186867,186797,186138,180080,180080,179641
33,LerayXT,234704,203053,203012,202998,194961,194961,194402
34,LerayXT,253154,218980,218949,218928,216121,216121,216121
35,LerayXT,298411,261839,261781,261808,258604,258604,258588
36,LerayXT,255344,223980,223945,223902,221326,221326,221299
37,LerayXT,196841,172974,172687,172848,164846,164846,117122
38,LerayXT,188230,164833,164346,164755,156835,156835,109727
39,LerayXT,225282,199381,199118,199274,190362,190362,135000
40,LerayXT,279724,245653,245618,245601,242648,242648,242564
41,LerayXT,254831,223353,223324,223325,220613,220613,220539
42,LerayXT,257291,224495,224469,224430,221715,221715,221638
43,LerayXT,182883,154511,154482,154468,147974,147974,147911
44,LerayXT,185948,154331,154292,154286,147833,147833,147725
45,LerayXT,172106,147926,147898,147890,142094,142094,141952
46,LerayXT,161285,141334,141267,141305,139441,139441,139355
47,LerayXT,155659,134118,134087,134087,129370,129370,129339
48,LerayXT,203513,178967,178913,178935,177058,177058,176738
49,LerayXT,136336,119612,119589,119597,118291,118291,118291
50,LerayXT,82942,72720,72703,72701,71862,71862,71848
51,LerayXT,42459,37327,37042,37297,36987,36987,36987
52,LerayXT,312999,270588,270435,270414,262717,262717,261939
53,LerayXT,279740,241365,241230,241179,233872,233872,233424
54,LerayXT,311672,269831,269697,269407,261288,261288,260742
55,LerayXT,255605,223688,223660,223248,216031,216031,216012
56,LerayXT,211685,184081,184057,183761,177831,177831,177818
57,LerayXT,219415,191891,191879,191867,190052,190052,189996
58,LerayXT,86813,76183,76132,76142,72844,72844,65721
59,LerayXT,226365,197533,197408,197139,188199,188199,173372
60,LerayXT,266935,233064,232936,232977,221948,221948,205228
61,LerayXT,63620,55186,55172,55166,53974,53974,53924
62,LerayXT,215445,187420,187395,186355,182239,182239,181951
63,LerayXT,175596,147230,147197,147104,143417,143417,143219
64,LerayXT,368025,314207,314163,314103,306911,306911,304239
65,LerayXT,259880,220035,219969,219955,214680,214680,212945
66,LerayXT,316202,268527,268412,268228,261895,261895,259974
67,LerayXT,116312,101283,101264,101255,97830,97830,97830
68,LerayXT,21046,17382,17378,17377,16717,16717,16717
69,LerayXT,34775,30562,30363,30548,29654,29654,29654
70,LerayXT,90759,79506,79482,79477,76989,76989,76983
71,LerayXT,192684,167954,167894,167914,162829,162829,162736
72,LerayXT,181901,157712,157659,157685,153959,153959,153935
73,LerayXT,100423,87170,87153,87158,84036,84036,84031
74,LerayXT,258018,226828,226815,226392,224274,224274,224236
75,LerayXT,169758,148936,148892,148708,144080,144080,144047
76,LerayXT,159614,134817,134788,134604,128826,128826,122305
77,LerayXT,164663,140179,140144,139970,133287,133287,124923
78,LerayXT,230585,202916,202882,202837,194331,194331,181400
79,LerayXT,33713,29125,29118,29119,28177,28177,28177
80,LerayXT,62026,53227,53225,53220,51928,51928,51928
81,LerayXT,77865,68574,68572,68574,68149,68149,68149
82,LerayXT,434316,369556,369512,369387,360695,360695,360220
83,LerayXT,459155,393294,393107,393140,382624,382624,381912
84,LerayXT,507370,427837,427705,427564,417734,417734,416837
85,LerayXT,7451,6495,6486,6487,6464,6464,6448
86,LerayXT,87484,74022,73981,73994,71863,71863,71732
87,LerayXT,61122,53119,53103,53085,52100,52100,52036
88,LerayXT,240754,200216,200205,200165,194275,194275,194253
92,LerayXT,140101,114973,114934,114876,109866,109866,109855
93,LerayXT,153298,132229,132220,132197,128047,128047,128047
95,LerayXT,5306,4069,4066,4047,3879,3879,3879
96,LerayXT,37,29,27,27,27,27,27
